INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2019-07-22T20:00:00-00:00,2019-07-22T21:00:00-00:00,7/22/2019,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0.11936,2
2019-07-23T04:00:00-00:00,2019-07-23T05:00:00-00:00,7/22/2019,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-07-23T05:00:00-00:00,2019-07-23T06:00:00-00:00,7/22/2019,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-07-22T15:00:00-00:00,2019-07-22T16:00:00-00:00,7/22/2019,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-07-22T07:00:00-00:00,2019-07-22T08:00:00-00:00,7/22/2019,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,30.1213,3
2019-07-22T08:00:00-00:00,2019-07-22T09:00:00-00:00,7/22/2019,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,27.50982,3
2019-07-22T09:00:00-00:00,2019-07-22T10:00:00-00:00,7/22/2019,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,25.72641,3
2019-07-22T10:00:00-00:00,2019-07-22T11:00:00-00:00,7/22/2019,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,25.19539,3
2019-07-22T11:00:00-00:00,2019-07-22T12:00:00-00:00,7/22/2019,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,26.51044,3
2019-07-22T12:00:00-00:00,2019-07-22T13:00:00-00:00,7/22/2019,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,30.10078,3
